日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
109/04/24,"1,062,080","5,741,268",5.45,5.45,5.37,5.43,+0.04,286,
109/04/27,"5,682,988","31,770,635",5.46,5.69,5.45,5.69,+0.26,"1,328",
109/04/28,"10,874,675","66,103,870",5.70,6.25,5.70,6.25,+0.56,"2,388",
109/04/29,"17,084,603","112,996,030",6.32,6.83,6.32,6.79,+0.54,"3,463",
109/04/30,"10,184,365","68,704,195",6.80,6.87,6.50,6.77,-0.02,"2,441",
109/05/04,"5,292,738","34,922,113",6.56,6.66,6.48,6.57,-0.20,"1,019",
109/05/05,"4,522,443","29,322,091",6.57,6.64,6.40,6.43,-0.14,"1,148",
109/05/06,"2,667,843","16,993,677",6.47,6.47,6.31,6.36,-0.07,721,
109/05/07,"1,812,801","11,581,435",6.32,6.45,6.31,6.38,+0.02,489,
109/05/08,"1,918,154","12,222,697",6.40,6.47,6.33,6.37,-0.01,557,
109/05/11,"2,249,139","14,503,461",6.37,6.48,6.37,6.45,+0.08,634,
109/05/12,"2,857,954","18,072,318",6.34,6.45,6.28,6.31,-0.14,724,
109/05/13,"1,644,070","10,579,107",6.27,6.59,6.26,6.59,+0.28,541,
109/05/14,"1,851,433","11,943,361",6.50,6.51,6.39,6.39,-0.20,593,
109/05/15,"1,742,479","11,040,976",6.32,6.44,6.30,6.32,-0.07,426,
109/05/18,"1,011,801","6,437,172",6.32,6.40,6.32,6.36,+0.04,318,
109/05/19,"2,180,953","14,076,797",6.44,6.51,6.40,6.45,+0.09,599,
109/05/20,"1,439,793","9,262,499",6.49,6.49,6.39,6.40,-0.05,393,
109/05/21,"8,398,669","56,710,753",6.55,6.89,6.54,6.83,+0.43,"2,108",
109/05/22,"4,785,667","32,201,809",6.69,6.82,6.66,6.68,-0.15,971,
109/05/25,"1,816,689","11,880,012",6.51,6.68,6.46,6.53,-0.15,540,
109/05/26,"1,405,181","9,255,136",6.61,6.62,6.55,6.61,+0.08,410,
109/05/27,"2,017,503","13,297,207",6.61,6.66,6.53,6.59,-0.02,455,
109/05/28,"2,271,306","14,977,313",6.60,6.67,6.52,6.53,-0.06,564,
109/05/29,"2,362,514","15,556,114",6.53,6.71,6.47,6.50,-0.03,550,
109/06/01,"1,531,252","10,090,671",6.53,6.61,6.53,6.59,+0.09,417,
109/06/02,"1,567,332","10,268,587",6.58,6.60,6.51,6.58,-0.01,357,
109/06/03,"1,801,516","11,914,173",6.57,6.65,6.57,6.61,+0.03,495,
109/06/04,"2,838,397","18,865,379",6.63,6.72,6.60,6.65,+0.04,756,
109/06/05,"6,307,194","42,790,714",6.64,6.88,6.64,6.85,+0.20,"1,445",
109/06/08,"3,559,328","24,382,134",6.95,6.97,6.80,6.85, 0.00,"1,021",
109/06/09,"3,021,230","20,694,426",6.85,6.93,6.79,6.89,+0.04,811,
109/06/10,"2,726,668","18,639,616",6.87,6.89,6.80,6.84,-0.05,633,
109/06/11,"3,550,955","23,731,312",6.84,6.84,6.54,6.54,-0.30,998,
109/06/12,"2,565,767","16,376,968",6.36,6.45,6.31,6.42,-0.12,675,
109/06/15,"2,047,194","13,039,623",6.45,6.45,6.32,6.42, 0.00,547,
109/06/16,"2,397,474","15,741,270",6.55,6.64,6.49,6.59,+0.17,598,
109/06/17,"906,601","5,963,283",6.62,6.64,6.55,6.55,-0.04,327,
109/06/18,"1,608,677","10,432,421",6.59,6.59,6.44,6.49,-0.06,475,
109/06/19,"1,884,807","12,299,611",6.47,6.59,6.45,6.59,+0.10,437,
109/06/22,"2,254,180","14,937,953",6.59,6.70,6.55,6.59, 0.00,586,
109/06/23,"1,357,583","8,937,684",6.61,6.65,6.54,6.59, 0.00,403,
109/06/24,"1,061,345","6,951,845",6.59,6.60,6.53,6.54,-0.05,273,
109/06/29,"1,359,902","8,774,153",6.52,6.52,6.42,6.47,-0.07,385,
109/06/30,"1,034,743","6,732,268",6.48,6.57,6.44,6.50,+0.03,263,
109/08/03,"1,999,641","12,706,376",6.30,6.43,6.26,6.29,-0.02,548,
109/08/04,"1,274,372","8,008,930",6.32,6.33,6.25,6.25,-0.04,358,
109/08/05,"1,055,440","6,607,319",6.26,6.28,6.24,6.25, 0.00,311,
109/08/06,"4,874,552","31,242,720",6.26,6.57,6.26,6.38,+0.13,"1,049",
109/08/07,"2,546,687","16,403,250",6.40,6.52,6.39,6.46,+0.08,752,
109/08/10,"17,196,759","117,175,397",6.45,7.10,6.45,7.10,+0.64,"3,583",
109/08/11,"30,066,275","230,914,427",7.60,7.81,7.40,7.81,+0.71,"4,892",
109/08/12,"22,736,529","169,769,118",7.75,7.75,7.26,7.69,-0.12,"5,014",
109/08/13,"15,396,736","121,926,420",7.65,8.25,7.54,7.89,+0.20,"4,113",
109/08/14,"30,176,892","253,598,312",8.00,8.67,7.90,8.59,+0.70,"7,075",
109/08/17,"22,705,724","194,228,259",8.47,8.80,8.18,8.62,+0.03,"5,592",
109/08/18,"13,577,789","114,562,691",8.61,8.62,8.27,8.43,-0.19,"3,210",
109/08/19,"11,621,420","97,699,926",8.50,8.64,8.20,8.24,-0.19,"3,020",
109/08/20,"18,156,254","143,152,237",8.25,8.34,7.50,7.67,-0.57,"4,285",
109/08/21,"12,088,557","95,763,785",7.86,8.05,7.81,7.84,+0.17,"3,358",
109/08/24,"7,957,247","62,453,943",7.90,8.07,7.70,7.95,+0.11,"1,935",
109/08/25,"25,042,039","213,602,341",8.12,8.74,8.01,8.74,+0.79,"5,522",
109/08/26,"57,926,355","545,575,854",8.93,9.61,8.90,9.61,+0.87,"13,264",
109/08/27,"35,696,669","336,431,000",9.69,9.69,9.11,9.36,-0.25,"9,456",
109/08/28,"14,392,406","133,602,053",9.36,9.45,9.10,9.21,-0.15,"3,939",
109/08/31,"27,551,817","274,102,543",9.60,10.10,9.60,10.10,+0.89,"5,062",
109/09/01,"55,635,589","587,406,785",10.20,10.95,10.20,10.60,+0.50,"12,235",
109/09/02,"34,960,862","372,314,221",10.55,11.05,10.20,11.00,+0.40,"8,007",
109/09/03,"30,875,172","340,872,142",10.90,11.30,10.75,11.05,+0.05,"7,285",
109/09/04,"31,938,203","353,772,998",10.60,11.50,10.60,11.50,+0.45,"6,795",
109/09/07,"44,018,134","523,148,934",11.60,12.30,11.55,11.95,+0.45,"10,972",
109/09/08,"41,568,120","476,578,768",11.90,11.90,11.15,11.25,-0.70,"9,557",
109/09/09,"19,865,339","219,683,871",10.95,11.35,10.65,11.30,+0.05,"4,883",
109/09/10,"21,500,239","238,116,329",11.45,11.45,10.85,10.95,-0.35,"4,967",
109/09/11,"41,200,456","437,214,262",11.10,11.15,10.15,10.20,-0.75,"8,551",
109/09/14,"25,275,774","257,206,450",10.35,10.55,9.91,10.10,-0.10,"5,032",
109/09/15,"9,747,740","98,923,999",10.30,10.30,10.05,10.20,+0.10,"2,261",
109/09/16,"20,014,577","197,782,816",10.20,10.20,9.78,9.81,-0.39,"5,514",
109/09/17,"10,147,871","100,954,843",9.80,10.20,9.80,9.91,+0.10,"2,688",
109/09/18,"7,133,350","70,684,606",9.93,9.99,9.86,9.88,-0.03,"1,860",
109/09/21,"8,506,581","84,259,406",9.91,9.99,9.84,9.88, 0.00,"1,875",
109/09/22,"14,181,673","141,351,220",10.00,10.05,9.80,9.97,+0.09,"3,535",
109/09/23,"16,473,350","158,850,262",9.98,9.98,9.44,9.44,-0.53,"4,266",
109/09/24,"13,311,072","122,171,988",9.35,9.40,9.01,9.01,-0.43,"3,392",
109/09/25,"21,580,895","204,415,432",9.10,9.75,9.10,9.75,+0.74,"5,570",
109/09/28,"12,090,322","115,341,948",9.60,9.73,9.30,9.45,-0.30,"3,209",
109/09/29,"9,852,087","95,048,530",9.45,9.82,9.45,9.61,+0.16,"2,295",
109/09/30,"6,930,755","67,003,208",9.55,9.82,9.49,9.70,+0.09,"1,596",
109/10/05,"19,513,068","195,304,861",9.79,10.15,9.77,10.15,+0.45,"3,510",
109/10/06,"13,208,153","132,809,337",10.15,10.15,9.97,10.15, 0.00,"2,705",
109/10/07,"13,308,919","136,873,506",10.15,10.50,10.10,10.20,+0.05,"2,757",
109/10/08,"9,211,502","92,386,000",10.25,10.30,9.98,10.05,-0.15,"2,108",
109/10/12,"7,526,012","75,031,754",10.15,10.15,9.85,10.00,-0.05,"2,141",
109/10/13,"19,625,308","200,465,221",9.95,10.40,9.90,10.25,+0.25,"4,018",
109/10/14,"8,181,666","83,115,645",10.10,10.25,10.05,10.20,-0.05,"2,003",
109/10/15,"17,931,236","186,949,972",10.25,10.60,10.15,10.40,+0.20,"3,867",
109/10/16,"20,079,621","210,638,458",10.60,10.65,10.30,10.40, 0.00,"3,646",
109/10/19,"9,635,332","101,411,388",10.60,10.75,10.40,10.45,+0.05,"2,051",
109/10/20,"12,168,817","127,102,340",10.40,10.70,10.20,10.60,+0.15,"2,760",
109/10/21,"8,004,859","84,341,860",10.65,10.70,10.45,10.55,-0.05,"1,819",
109/10/22,"7,457,945","77,884,610",10.55,10.60,10.30,10.45,-0.10,"1,716",
109/10/23,"33,704,435","365,185,551",10.50,11.10,10.40,11.00,+0.55,"6,753",
109/10/26,"111,521,718","1,334,968,386",11.15,12.10,11.10,12.10,+1.10,"15,536",
109/10/27,"73,994,936","866,224,138",11.90,12.00,11.40,12.00,-0.10,"14,536",
109/10/28,"43,601,226","505,534,053",11.95,12.00,11.30,11.45,-0.55,"9,072",
109/10/29,"42,348,274","474,464,362",11.05,11.65,10.90,11.60,+0.15,"7,384",
109/10/30,"50,815,960","590,961,575",11.70,12.00,11.30,11.50,-0.10,"9,834",
109/11/02,"32,654,403","381,400,581",11.70,11.85,11.40,11.60,+0.10,"5,857",
109/11/03,"29,608,928","347,585,439",11.70,11.95,11.50,11.75,+0.15,"5,825",
109/11/04,"65,400,435","786,277,268",11.95,12.60,11.60,12.50,+0.75,"12,626",
109/11/05,"58,581,950","720,066,215",12.40,12.60,12.05,12.25,-0.25,"12,380",
109/11/06,"69,864,715","885,637,668",12.35,13.20,12.20,12.90,+0.65,"15,964",
109/11/09,"115,298,067","1,569,394,546",13.00,14.15,12.85,14.10,+1.20,"24,432",
109/11/10,"117,678,333","1,624,342,355",14.15,14.50,12.95,13.60,-0.50,"32,664",
109/11/11,"113,516,298","1,480,087,476",13.55,13.75,12.45,13.55,-0.05,"25,412",
109/11/12,"90,102,455","1,138,471,404",13.10,13.15,12.20,12.35,-1.20,"21,200",
109/11/13,"61,265,620","765,465,571",12.40,12.80,12.20,12.50,+0.15,"12,148",
109/11/16,"42,815,152","538,482,194",12.70,12.80,12.40,12.50, 0.00,"8,421",
109/11/17,"53,068,430","658,692,619",12.45,12.60,12.10,12.50, 0.00,"11,854",
109/11/18,"84,199,187","1,085,328,106",12.50,13.25,12.50,13.00,+0.50,"17,280",
109/11/19,"44,322,016","566,665,800",13.00,13.00,12.60,12.75,-0.25,"9,715",
109/11/20,"35,197,134","447,781,386",12.70,12.85,12.55,12.80,+0.05,"6,933",
109/11/23,"58,823,672","762,089,670",13.00,13.10,12.80,13.00,+0.20,"11,081",
109/11/24,"61,262,857","803,589,929",13.15,13.35,13.00,13.05,+0.05,"13,141",
109/11/25,"100,667,788","1,352,988,920",13.25,13.70,13.15,13.60,+0.55,"19,190",
109/11/26,"92,557,330","1,265,597,616",13.75,13.95,13.25,13.55,-0.05,"20,072",
109/11/27,"41,678,498","565,516,946",13.55,13.70,13.40,13.60,+0.05,"9,428",
109/11/30,"58,170,129","785,704,130",13.65,13.70,13.25,13.25,-0.35,"13,269",
109/12/01,"66,054,680","853,595,073",13.30,13.35,12.60,13.05,-0.20,"14,870",
109/12/02,"45,337,669","587,593,939",13.10,13.25,12.65,12.90,-0.15,"9,736",
109/12/03,"35,195,883","453,491,581",12.90,13.15,12.70,12.75,-0.15,"8,726",
109/12/04,"28,201,469","359,421,061",12.85,12.85,12.65,12.85,+0.10,"6,356",
109/12/07,"34,846,938","449,318,808",12.95,13.05,12.70,12.85, 0.00,"6,726",
109/12/08,"137,177,362","1,886,209,327",13.15,14.05,13.10,14.05,+1.20,"29,413",
109/12/09,"133,020,551","1,902,619,648",14.05,14.90,13.80,14.40,+0.35,"31,050",
109/12/10,"89,946,504","1,298,844,861",14.45,14.85,14.15,14.35,-0.05,"20,767",
109/12/11,"100,878,749","1,406,310,004",14.30,14.35,13.50,13.70,-0.65,"22,530",
109/12/14,"126,195,343","1,831,803,858",13.85,15.05,13.80,15.05,+1.35,"21,928",
109/12/15,"236,049,036","3,700,946,406",15.35,16.50,15.15,15.55,+0.50,"51,354",
109/12/16,"126,364,128","1,979,070,760",15.65,16.20,15.15,15.85,+0.30,"27,357",
109/12/17,"79,684,685","1,250,952,712",15.80,16.05,15.45,15.70,-0.15,"16,675",
109/12/18,"206,360,797","3,455,606,207",16.00,17.25,15.90,17.25,+1.55,"40,990",
109/12/21,"223,996,421","4,091,639,245",17.65,18.95,17.50,18.95,+1.70,"44,924",
109/12/22,"291,542,811","5,579,380,809",19.20,20.00,17.80,18.55,-0.40,"88,762",
109/12/23,"224,886,565","4,279,494,338",18.85,20.40,17.50,20.40,+1.85,"53,845",
109/12/24,"218,649,885","4,461,219,529",20.35,21.50,19.70,21.00,+0.60,"57,527",
109/12/25,"180,477,681","4,152,899,120",23.10,23.10,22.35,23.10,+2.10,"43,045",
109/12/28,"83,468,746","2,076,502,525",24.30,25.40,24.30,25.40,+2.30,"17,643",
109/12/29,"316,446,204","8,696,126,318",27.90,27.90,25.40,27.90,+2.50,"101,037",
109/12/30,"111,570,443","2,999,679,444",27.30,28.05,25.65,27.50,-0.40,"48,664",
109/12/31,"100,773,024","2,845,517,653",27.50,29.25,27.25,29.25,+1.75,"39,249",
110/01/04,"102,044,301","3,217,518,126",30.70,32.15,30.70,32.15,+2.90,"40,766",
110/01/05,"49,151,441","1,525,683,363",31.60,32.00,30.00,32.00,-0.15,"14,522",
110/01/06,"64,941,633","1,960,143,042",32.00,32.00,28.80,28.80,-3.20,"18,020",
110/01/07,"49,450,852","1,294,854,061",28.60,28.60,25.95,25.95,-2.85,"11,365",
110/01/08,"79,753,945","2,099,363,918",25.65,27.40,25.65,27.30,+1.35,"19,004",
110/01/11,"47,981,188","1,355,360,545",28.00,28.55,28.00,28.55,+1.25,"10,833",
110/01/12,"63,035,352","1,626,626,901",26.10,26.80,25.70,25.70,-2.85,"13,360",
110/01/13,"56,909,257","1,412,065,887",25.35,25.70,24.00,24.00,-1.70,"11,653",
110/01/14,"47,688,455","1,231,445,145",24.75,26.40,24.75,25.90,+1.90,"8,255",
110/01/15,"28,710,087","676,194,654",25.10,25.10,23.35,23.35,-2.55,"7,219",
110/01/18,"61,733,516","1,398,358,271",23.00,23.80,21.30,23.80,+0.45,"10,523",
110/01/19,"388,985,114","9,355,814,753",26.15,26.15,21.70,21.85,-1.95,"97,822",
110/01/20,"311,859,804","6,501,313,797",21.90,22.40,20.00,20.20,-1.65,"68,608",
110/01/21,"274,234,990","5,841,227,148",20.85,22.20,20.40,20.85,+0.65,"59,928",
110/01/22,"199,178,481","4,323,995,374",20.90,22.80,20.30,22.60,+1.75,"51,823",
110/01/25,"198,129,596","4,616,719,317",22.95,24.00,22.60,23.00,+0.40,"50,668",
110/01/26,"149,173,794","3,323,680,317",23.10,23.50,21.50,21.60,-1.40,"37,900",
110/01/27,"130,719,280","2,768,060,026",21.80,22.15,20.65,20.80,-0.80,"30,367",
110/01/28,"139,089,259","2,896,180,233",20.15,21.40,19.65,20.70,-0.10,"31,815",
110/01/29,"123,509,181","2,486,621,265",21.05,21.10,19.45,19.75,-0.95,"33,738",
110/02/01,"164,457,754","3,171,750,683",19.70,19.95,18.75,19.05,-0.70,"38,247",
110/02/02,"213,074,179","4,319,028,156",19.30,20.95,19.10,20.95,+1.90,"38,093",
110/02/03,"347,000,366","7,514,157,955",21.25,22.40,21.05,21.60,+0.65,"77,702",
110/02/04,"154,012,800","3,358,297,330",21.45,22.20,21.35,21.95,+0.35,"36,244",
110/02/05,"115,482,983","2,514,315,870",22.10,22.20,21.40,21.50,-0.45,"28,323",
110/02/17,"219,033,991","4,956,764,140",22.10,23.65,21.70,23.65,+2.15,"47,193",
110/02/18,"356,237,830","8,927,053,548",24.20,25.95,24.10,25.55,+1.90,"90,493",
110/02/19,"189,248,898","4,782,306,767",25.50,25.95,24.70,25.60,+0.05,"52,883",
110/02/22,"211,635,130","5,924,732,461",28.15,28.15,27.30,28.15,+2.55,"49,423",
110/02/23,"393,750,362","11,362,650,191",28.15,30.05,27.85,28.25,+0.10,"100,009",
110/02/24,"241,515,907","6,917,935,203",28.90,29.50,27.90,27.90,-0.35,"62,813",
110/02/25,"204,089,944","5,871,727,000",28.95,29.50,28.15,28.50,+0.60,"51,047",
110/02/26,"205,961,094","5,841,803,723",27.95,29.15,27.50,29.00,+0.50,"51,212",
110/03/02,"378,370,445","10,796,377,732",29.55,30.25,26.10,27.10,-1.90,"96,688",
110/03/03,"200,403,282","5,423,139,115",27.65,27.70,26.25,27.60,+0.50,"49,815",
110/03/04,"99,600,102","2,686,122,227",27.00,27.30,26.55,26.60,-1.00,"26,314",
110/03/05,"115,422,119","3,054,643,642",25.90,27.00,25.80,26.05,-0.55,"28,611",
110/03/08,"151,261,858","4,081,151,208",26.55,27.55,26.50,26.80,+0.75,"33,719",
110/03/09,"124,505,842","3,380,456,163",26.90,27.75,26.40,27.60,+0.80,"27,854",
110/03/10,"185,820,228","5,214,793,372",27.75,28.65,27.35,28.00,+0.40,"43,652",
110/03/11,"192,861,686","5,541,269,801",28.75,29.35,28.05,28.10,+0.10,"48,451",
110/03/12,"290,550,466","8,497,029,929",29.00,29.95,28.45,29.15,+1.05,"69,887",
110/03/15,"277,317,445","8,429,457,310",29.70,31.30,29.60,31.30,+2.15,"75,302",
110/03/16,"240,779,610","7,320,577,334",31.10,31.10,29.90,30.05,-1.25,"63,006",
110/03/17,"232,781,489","7,202,029,577",30.30,31.65,30.10,31.30,+1.25,"55,872",
110/03/18,"186,140,184","5,895,929,843",31.65,32.00,31.30,31.90,+0.60,"43,733",
110/03/19,"362,851,232","11,796,378,399",31.40,33.70,31.25,32.60,+0.70,"91,593",
110/03/22,"259,149,682","9,227,903,857",35.80,35.85,34.55,35.85,+3.25,"60,107",
110/03/23,"112,545,632","3,854,633,182",36.50,36.50,32.35,33.50,-2.35,"48,399",
110/03/24,"54,860,713","1,829,870,014",32.40,34.00,32.40,33.80,+0.30,"20,971",
110/03/25,"46,345,731","1,517,130,608",33.70,33.70,32.45,32.50,-1.30,"19,715",
110/03/26,"49,045,755","1,641,551,676",32.80,34.20,32.75,34.00,+1.50,"18,067",
110/03/29,"62,588,813","2,207,707,487",34.70,35.60,34.70,35.25,+1.25,"21,829",
110/03/30,"48,012,806","1,678,145,873",35.50,35.50,34.00,35.40,+0.15,"18,541",
110/03/31,"84,149,262","3,137,466,960",35.80,38.00,35.80,37.70,+2.30,"32,192",
110/04/01,"79,597,634","3,146,027,315",39.15,40.20,38.85,40.15,+2.45,"32,537",
110/04/06,"91,673,678","3,904,959,185",41.50,44.15,40.15,44.15,+4.00,"34,087",
110/04/07,"91,018,661","4,141,809,027",44.20,47.55,43.95,46.35,+2.20,"37,586",
110/04/08,"275,160,137","12,786,048,138",46.00,47.60,45.30,46.20,-0.15,"81,730",
110/04/09,"68,509,682","2,892,617,875",43.00,43.00,41.60,42.75,-3.45,"21,394",
110/04/12,"48,961,969","2,245,253,404",44.90,46.20,44.90,46.10,+3.35,"11,780",
110/04/13,"49,368,382","2,297,635,764",46.10,47.50,44.80,44.80,-1.30,"12,584",
110/04/14,"61,960,067","2,740,820,695",45.10,46.40,40.85,45.50,+0.70,"12,025",
110/04/15,"45,148,702","2,108,009,451",45.60,47.50,45.60,46.70,+1.20,"9,948",
110/04/16,"55,192,034","2,667,387,081",47.20,50.60,47.10,50.60,+3.90,"14,602",
110/04/19,"66,438,648","3,641,434,331",52.60,55.60,52.60,55.00,+4.40,"17,004",
110/04/20,"44,983,322","2,482,167,812",55.50,57.00,53.90,57.00,+2.00,"12,511",
110/04/21,"51,583,312","3,184,772,752",58.80,62.70,58.80,62.70,+5.70,"14,293",
110/04/22,"76,617,586","4,850,016,580",65.00,68.30,58.00,59.60,-3.10,"20,969",
110/04/23,"420,124,249","24,892,545,015",62.00,63.00,54.80,60.40,+0.80,"127,644",
110/04/26,"189,302,930","12,380,465,170",63.00,66.40,62.50,66.40,+6.00,"48,837",
110/04/27,"402,224,622","28,553,304,863",69.40,73.00,67.70,72.00,+5.60,"125,488",
110/04/28,"415,394,530","31,185,975,298",73.50,77.30,71.60,75.00,+3.00,"145,494",
110/04/29,"342,752,996","25,965,697,100",76.90,80.00,72.30,79.80,+4.80,"116,342",
110/05/03,"317,654,743","27,556,327,891",86.10,87.70,83.80,87.70,+7.90,"96,172",
110/05/04,"797,676,562","68,110,707,914",87.00,92.40,79.00,80.00,-7.70,"296,950",
110/05/05,"512,337,017","42,655,306,679",81.70,87.40,75.50,87.00,+7.00,"189,778",
110/05/06,"478,298,147","41,568,801,547",89.90,91.30,82.10,84.30,-2.70,"182,097",
110/05/07,"481,188,280","42,105,162,886",88.40,91.50,83.70,91.50,+7.20,"176,332",
110/05/10,"445,425,315","43,375,501,242",91.60,100.50,90.20,100.50,+9.00,"175,505",
110/05/11,"544,098,491","54,414,080,817",98.00,105.50,91.30,97.60,-2.90,"221,014",
110/05/12,"363,996,329","33,422,302,396",95.00,98.30,87.90,87.90,-9.70,"144,698",
110/05/13,"574,319,285","46,703,260,460",79.20,88.50,79.20,79.20,-8.70,"198,782",
110/05/14,"647,739,529","49,155,207,697",82.50,83.80,71.30,74.00,-5.20,"226,658",
110/05/17,"569,893,393","39,787,756,830",69.90,74.30,66.60,66.60,-7.40,"182,304",
110/05/18,"276,730,144","19,891,632,374",70.50,73.20,68.60,73.20,+6.60,"81,806",
110/05/19,"375,849,670","29,581,498,440",76.90,80.50,76.00,80.50,+7.30,"127,058",
110/05/20,"719,139,581","60,302,129,629",81.00,87.30,79.10,83.50,+3.00,"269,327",
110/05/21,"525,852,293","46,931,658,114",87.00,91.80,86.90,91.80,+8.30,"191,761",
110/05/24,"636,015,199","60,594,689,803",92.00,99.30,89.30,93.10,+1.30,"261,799",
110/05/25,"592,190,809","53,892,304,561",96.90,98.20,84.00,91.00,-2.10,"245,905",
110/05/26,"719,247,087","67,945,718,351",92.80,99.40,87.10,98.80,+7.80,"275,645",
110/05/27,"756,487,769","77,476,567,956",100.00,105.50,99.30,103.00,+4.20,"240,429",
110/05/28,"488,929,003","52,308,458,041",105.50,112.00,103.00,108.00,+5.00,"204,797",
110/05/31,"491,276,154","53,587,498,935",110.50,115.00,102.00,102.50,-5.50,"209,000",
110/06/01,"406,062,794","43,351,527,510",105.50,112.50,101.00,112.50,+10.00,"154,437",
110/06/02,"498,833,551","57,026,409,480",114.00,118.50,111.00,111.00,-1.50,"196,117",
110/06/03,"471,284,102","53,875,505,840",113.50,117.50,111.00,112.50,+1.50,"171,940",
110/06/04,"404,392,317","46,986,862,426",114.00,119.50,113.00,115.50,+3.00,"132,400",
110/06/07,"526,517,403","58,139,351,475",117.50,118.00,104.00,107.00,-8.50,"203,654",
110/06/08,"266,769,293","29,722,656,566",108.00,114.50,107.50,114.50,+7.50,"99,763",
110/06/09,"328,556,712","37,597,188,670",116.00,117.00,111.00,113.00,-1.50,"124,765",
110/06/10,"328,143,553","35,934,522,313",114.00,115.00,105.00,110.50,-2.50,"119,530",
110/06/11,"440,136,189","51,018,864,892",112.00,119.00,111.00,116.00,+5.50,"166,814",
110/06/15,"445,650,897","54,895,595,775",118.50,127.50,117.00,127.50,+11.50,"160,016",
110/06/16,"673,719,863","89,863,038,321",129.00,140.00,128.00,130.00,+2.50,"281,869",
110/06/17,"442,473,236","58,297,577,337",130.00,140.50,124.00,140.50,+10.50,"177,416",
110/06/18,"747,990,717","109,530,140,668",138.50,151.00,137.50,149.50,+9.00,"291,625",
110/06/21,"650,922,348","102,822,682,655",150.00,162.50,148.50,158.50,+9.00,"269,676",
110/06/22,"106,624,596","16,885,055,608",162.00,163.00,152.00,154.50,-4.00,"72,879",
110/06/23,"135,256,310","19,332,606,158",146.00,150.00,139.50,139.50,-15.00,"100,084",
110/06/24,"81,397,824","11,678,671,600",133.00,149.00,133.00,149.00,+9.50,"53,351",
110/06/25,"77,872,902","11,763,893,197",153.00,153.00,146.00,151.00,+2.00,"50,201",
110/06/28,"92,488,436","15,059,255,610",156.50,166.00,156.50,166.00,+15.00,"59,029",
110/06/29,"104,157,817","17,391,315,760",171.00,173.00,160.00,166.00, 0.00,"74,716",
110/06/30,"90,212,745","15,831,651,676",166.50,182.50,166.50,182.50,+16.50,"64,148",
110/07/01,"114,395,747","22,088,178,301",188.00,200.50,183.00,196.00,+13.50,"81,782",
110/07/02,"90,009,902","17,254,329,502",197.00,197.00,186.00,191.00,-5.00,"70,421",
110/07/05,"87,982,844","16,708,640,720",198.00,198.00,180.00,197.00,+6.00,"61,045",
110/07/06,"423,072,466","89,704,375,832",201.00,216.50,196.00,216.50,+19.50,"165,276",
110/07/07,"613,283,761","133,948,767,971",222.00,234.50,195.50,210.00,-6.50,"309,213",
110/07/08,"670,995,009","141,669,265,366",216.00,227.00,194.00,216.50,+6.50,"358,252",
110/07/09,"579,705,972","120,349,810,169",207.00,219.00,195.50,195.50,-21.00,"307,133",
110/07/12,"531,241,944","107,156,124,164",206.50,212.00,187.00,195.50, 0.00,"272,074",
110/07/13,"545,938,539","102,754,368,506",202.00,204.00,176.00,176.00,-19.50,"283,905",
110/07/14,"758,462,486","128,003,379,548",177.00,181.00,159.00,163.00,-13.00,"374,394",
110/07/15,"426,579,560","73,893,333,983",170.00,179.00,166.00,179.00,+16.00,"185,426",
110/07/16,"650,673,396","122,359,022,945",183.00,195.50,182.00,188.00,+9.00,"326,041",
110/07/19,"413,675,099","79,529,589,872",193.00,196.50,186.50,188.00, 0.00,"195,082",
110/07/20,"488,666,127","86,425,236,284",185.00,185.50,170.00,170.50,-17.50,"223,033",
110/07/21,"482,445,663","78,814,432,178",176.50,180.00,153.50,153.50,-17.00,"258,959",
110/07/22,"458,906,292","65,538,772,065",153.50,155.00,138.50,140.50,-13.00,"221,123",
110/07/23,"437,511,960","62,394,119,719",142.00,149.50,134.50,145.50,+5.00,"222,545",
110/07/26,"256,173,773","36,249,698,059",145.50,147.00,134.00,136.00,-9.50,"126,817",
110/07/27,"334,105,935","42,201,837,036",130.50,134.00,122.50,122.50,-13.50,"156,345",
110/07/28,"485,289,013","56,894,994,229",123.00,125.00,110.50,118.00,-4.50,"220,537",
110/07/29,"54,595,224","6,839,459,565",121.00,129.50,120.00,129.50,+11.50,"24,327",
110/07/30,"52,473,788","6,763,938,477",135.00,135.00,117.00,117.00,-12.50,"22,860",
110/08/02,"38,357,210","4,446,238,023",114.50,125.00,110.00,120.00,+3.00,"14,174",
110/08/03,"32,839,374","4,115,748,384",120.50,128.00,120.50,126.00,+6.00,"11,753",
110/08/04,"23,621,111","3,050,368,096",127.00,131.00,127.00,129.00,+3.00,"9,839",
110/08/05,"22,375,859","2,831,460,466",129.00,129.00,125.50,125.50,-3.50,"7,576",
110/08/06,"25,854,325","3,421,452,083",126.00,135.00,126.00,131.00,+5.50,"11,698",
110/08/09,"19,215,184","2,571,346,729",131.50,135.50,131.50,132.50,+1.50,"7,273",
110/08/10,"29,118,122","3,775,421,651",134.00,134.00,126.00,130.00,-2.50,"9,335",
110/08/11,"33,609,261","4,111,366,128",126.50,127.00,117.00,125.00,-5.00,"12,931",
110/08/12,"315,314,705","40,287,624,802",124.50,133.50,121.00,133.50,+8.50,"118,434",
